service_id,date,exception_type
51903,20250419,1
50903,20250419,1
51003,20250419,1
51103,20250419,1
51203,20250419,1
51303,20250419,1
51403,20250419,1
51904,20250420,1
50904,20250420,1
51004,20250420,1
51104,20250420,1
51204,20250420,1
51304,20250420,1
51903,20250426,1
50903,20250426,1
51003,20250426,1
51103,20250426,1
51203,20250426,1
51303,20250426,1
51403,20250426,1
51904,20250427,1
50904,20250427,1
51004,20250427,1
51104,20250427,1
51204,20250427,1
51304,20250427,1
51903,20250503,1
50903,20250503,1
51003,20250503,1
51103,20250503,1
51203,20250503,1
51303,20250503,1
51403,20250503,1
51503,20250503,1
51904,20250504,1
50904,20250504,1
51004,20250504,1
51104,20250504,1
51204,20250504,1
51304,20250504,1
51404,20250504,1
51903,20250510,1
50903,20250510,1
51003,20250510,1
51103,20250510,1
51203,20250510,1
51303,20250510,1
51403,20250510,1
51503,20250510,1
51904,20250511,1
50904,20250511,1
51004,20250511,1
51104,20250511,1
51204,20250511,1
51304,20250511,1
51404,20250511,1
