route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
25562,MARTA,102,North Avenue / Little Five Points,,3,https://itsmarta.com/102.aspx,00FF00,000000
25563,MARTA,103,Peeler Road,,3,https://itsmarta.com/103.aspx,00FFFF,000000
25564,MARTA,104,Winters Chapel Road,,3,https://itsmarta.com/104.aspx,00FFFF,000000
25565,MARTA,107,Glenwood,,3,https://itsmarta.com/107.aspx,008000,000000
25566,MARTA,110,Peachtree Road / Buckhead,,3,https://itsmarta.com/110.aspx,FF8040,000000
25567,MARTA,111,Snapfinger Woods,,3,https://itsmarta.com/111.aspx,008000,000000
25568,MARTA,114,Columbia Drive,,3,https://itsmarta.com/114.aspx,FF8040,000000
25569,MARTA,115,Covington Highway,,3,https://itsmarta.com/115.aspx,00FF00,000000
25570,MARTA,116,Redan Road,,3,https://itsmarta.com/116.aspx,00FFFF,000000
25571,MARTA,117,Rockbridge Road / Panola Road,,3,https://itsmarta.com/117.aspx,00FF00,000000
25572,MARTA,119,Hairston Road / Stone Mtn Village,,3,https://itsmarta.com/119.aspx,008080,000000
25573,MARTA,120,East Ponce De Leon Avenue,,3,https://itsmarta.com/120.aspx,FF00FF,000000
25574,MARTA,121,Memorial Drive / N Hairston Road,,3,https://itsmarta.com/121.aspx,00FFFF,000000
25575,MARTA,123,Church Street,,3,https://itsmarta.com/123.aspx,00FF00,000000
25576,MARTA,124,Pleasantdale Road,,3,https://itsmarta.com/124.aspx,FF00FF,000000
25577,MARTA,125,Clarkston,,3,https://itsmarta.com/125.aspx,008000,000000
25578,MARTA,126,Embry Hills,,3,https://itsmarta.com/126.aspx,008000,000000
25579,MARTA,132,Tilly Mill Road,,3,https://itsmarta.com/132.aspx,FF00FF,000000
25580,MARTA,133,Shallowford Road,,3,https://itsmarta.com/133.aspx,FFFF00,000000
25581,MARTA,140,North Point Parkway,,3,https://itsmarta.com/140.aspx,FF8000,000000
25582,MARTA,141,Haynes Bridge Road / Milton,,3,https://itsmarta.com/141.aspx,FF00FF,000000
25583,MARTA,142,East Holcomb Bridge Road,,3,https://itsmarta.com/142.aspx,FF00FF,000000
25584,MARTA,143,Windward Park & Ride,,3,https://itsmarta.com/143.aspx,00FFFF,000000
25585,MARTA,148,Mount Vernon Highway,,3,https://itsmarta.com/148.aspx,00FF00,000000
25586,MARTA,150,Dunwoody Village,,3,https://itsmarta.com/150.aspx,00FFFF,000000
25587,MARTA,153,James Jackson Parkway,,3,https://itsmarta.com/153.aspx,FF8000,000000
25588,MARTA,155,Pittsburgh,,3,https://itsmarta.com/155.aspx,00FFFF,000000
25589,MARTA,162,Myrtle Drive / Alison Court,,3,https://itsmarta.com/162.aspx,008080,000000
25590,MARTA,165,Fairburn Road,,3,https://itsmarta.com/165.aspx,00FFFF,000000
25591,MARTA,172,Sylvan Road / Virginia Avenue,,3,https://itsmarta.com/172.aspx,FF8040,000000
25592,MARTA,178,Empire Blvd / Southside Ind Park,,3,https://itsmarta.com/178.aspx,00FFFF,000000
25593,MARTA,180,Roosevelt Highway,,3,https://itsmarta.com/180.aspx,FF00FF,000000
25594,MARTA,181,Washington Road / Fairburn,,3,https://itsmarta.com/181.aspx,FF8040,000000
25680,MARTA,183,Greenbriar,,3,https://itsmarta.com/183.aspx,008000,000000
25596,MARTA,185,Alpharetta,,3,https://itsmarta.com/185.aspx,FF8000,000000
25597,MARTA,186,Rainbow Drive / South DeKalb,,3,https://itsmarta.com/186.aspx,00FF00,000000
25598,MARTA,188,Oakley Industrial,,3,https://itsmarta.com/188.aspx,FF00FF,000000
25599,MARTA,189,Flat Shoals Road / Scofield Road,,3,https://itsmarta.com/189.aspx,FF00FF,000000
25600,MARTA,191,Riverdale / ATL Intl Terminal,,3,https://itsmarta.com/191.aspx,FF00FF,000000
25601,MARTA,192,Old Dixie / Tara Boulevard,,3,https://itsmarta.com/192.aspx,008000,000000
25602,MARTA,193,Morrow / Jonesboro,,3,https://itsmarta.com/193.aspx,008080,000000
25603,MARTA,194,Conley Road / Mt Zion,,3,https://itsmarta.com/194.aspx,008000,000000
25604,MARTA,195,Forest Parkway,,3,https://itsmarta.com/195.aspx,FF00FF,000000
25605,MARTA,196,Upper Riverdale,,3,https://itsmarta.com/196.aspx,00FFFF,000000
25606,MARTA,197,Battle Creek Road,,3,https://itsmarta.com/197.aspx,FF00FF,000000
